	User ID	Text ID	Text	Lang	Country by Zone	Country by Location	Drug	ADR
9716	9.63E+17	9.63E+17	"@neverletyoupart @notateenmomfan @tiffany__4prez It is an opioid, sorry.  Not opiate. Same thing but one is synthetic"	en				
9736	9.63E+17	9.63E+17	LRT aggajsvkajw how dare you do Heroin that dirty 😂😂	en	Pacific Time (US & Canada)	"Kuching, Sarawak"		
9793	9.63E+17	9.63E+17	Vore will be incorrectly black tar heroin but I send a literal bag of dicks to the motherfucking United States of America.	en				
9802	9.63E+17	9.63E+17	@ThomasKlineMD Then please explain opioid-induced neurotoxicity good doctor.	en		"South Hill, WA"		
9836	9.63E+17	9.63E+17	Could We Beat the Opioid Epidemic by Easing Pain with Marijuana?	en				
9849	9.63E+17	9.63E+17	"@doonakebab On going knee , back problem need to get some medication sorted for this pain and discuss X-ray results xxxx"	en				
9861	9.63E+17	9.63E+17	@mamakin72 @StraightOutta16 @coolcam101 @realDonaldTrump Who would pay the taxes for your high speed internet and opioid addiction?	en				
9921	9.63E+17	9.63E+17	@StephanieKelton Money alone won’t stop opioid crisis.	en				
9930	9.63E+17	9.63E+17	@realDonaldTrump @foxandfriends Pardon all the young men and women imprisioned for opioid use.	en	Eastern Time (US & Canada)	"Georgia, USA"		
9932	9.63E+17	9.63E+17	@_Makada_ Ted Danson must’ve been on heroin to have had anything to do with that thing.	en		Metroplex		
9934	9.63E+17	9.63E+17	Hunter the inspired heroin-addict.	en		"Brilliant, OH"		
9936	9.63E+17	9.63E+17	BEST FEELING IN THE WORLD = CUMMING ON HEROIN god i miss u babe y u gotta kill me if i take u	en	Amsterdam			
10011	9.63E+17	9.63E+17	"Trifecta of opioids, alcohol and suicide are blamed for the drop in US life expectancy"	en				
10038	9.63E+17	9.63E+17	@realDonaldTrump @foxandfriends Wonder if there are figures on how many American citizens went on opioids when bone spurs became president?	en		"Novi Sad, Serbistan"		
10093	9.63E+17	9.63E+17	Could We Beat the Opioid Epidemic by Easing Pain with Marijuana?	en				
10143	9.63E+17	9.63E+17	@thehill Opioid manufacturers should be held accountable. Time to end the Fifth vital sign.  Stop MD reimbursement for prescribing narcs!	en	Central Time (US & Canada)	"Myrtle Beach, SC"		
10162	9.63E+17	9.63E+17	@ThomasKlineMD It’s not an epidemic. Those addicted  to these opioids are less than 1% of America. #fakeNews #RightWingPropaganda	en		"South Hill, WA"		
10195	9.63E+17	9.63E+17	@670TheScore  my kilos of cocaine and heroin are always a little bit light	en				
10206	9.63E+17	9.63E+17	"sad story, he got lost in a drug called heroin"	en				
10210	9.63E+17	9.63E+17	"Insanity is doing the same thing, over and over again, but expecting different results. -Narcotics Anonymous"	en	Urumqi			
10285	9.63E+17	9.63E+17	@sctuten @ThomasKlineMD You get morphine for dental work? 😳	en		"South Hill, WA"		
10335	9.63E+17	9.63E+17	@latimes Yet based on schedule it’s still considered multiple times more dangerous than alcohol and even heroin and meth 😂😂😂😂😂😂😂😂😂😂😂🤔	en		Jersey		
10336	9.63E+17	9.63E+17	@mims It’s almost a carbon copy of a map of opioid usage.	en	Central Time (US & Canada)	"Fort Worth, TX"		
10337	9.63E+17	9.63E+17	"Uh, the US army is actively shipping heroin into the US. It’s not a byproduct of the invasion of Afghanistan, it’s part of the plan"	en	Pacific Time (US & Canada)	A rapidly dying planet		
10360	9.63E+17	9.63E+17	"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need."	en	Pacific Time (US & Canada)	جمال الله		
10457	9.63E+17	9.63E+17	"Just like nicotine, heroin, morphine"	en	Brasilia	Havana oh nana		
10467	9.63E+17	9.63E+17	Prescription drug overdoses kill more Americans each year than heroin and cocaine combined.	en	Kyiv			
10473	9.63E+17	9.63E+17	"@NikkiSixx I read The Heroin Diaries , only by the grace of God your alive ...so yea!"	en		Texas		
10491	9.63E+17	9.63E+17	@krijgdeblafhik Do they ask prescription for codeine syrup?	en	Pacific Time (US & Canada)			
10525	9.63E+17	9.63E+17	"Just like nicotine, heroin, morphine 🎶"	en	Pacific Time (US & Canada)			
10576	9.63E+17	9.63E+17	@CateIynnLoweII @realturtleboy Well....if scumbags didn't sell foodstamps to get meth/heroin....they wouldn't have to resort to this	en				
10613	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en				
10614	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en				
10632	9.63E+17	9.63E+17	Thanks Opioids Advocate Chronic/Intractable Pain EOLC Dr. for the follow! Have an awesome day.	en	Eastern Time (US & Canada)			
10637	9.63E+17	9.63E+17	@funder She's been too busy eating all the opioids to keep us safe she wouldn't even remember.	en		"Pennsylvania, USA"		
10645	9.63E+17	9.63E+17	@mattbc @dshesgreen @JayneODonnell @tdemio @USATODAY I use narcotic or pain med. As Opioids is too broad. Illict fentanyl is opiod.	en		SW United States		
10647	9.63E+17	9.63E+17	Kodak Black - Codeine Dreaming (feat. Lil Wayne) [Official Audio]	en	Pacific Time (US & Canada)	complexo do roseiral		
10677	9.63E+17	9.63E+17	Indiana adds two recovery initiatives aimed at fighting opioid epidemic	en				
10732	9.63E+17	9.63E+17	Do you remember when I took a fentanyl/xan nap.	en				
10743	9.63E+17	9.63E+17	"@El_enciclopedia @ParkerMolloy And Meth, and Oxy"	en		"Illinois, USA"		
10803	9.63E+17	9.63E+17	Miss myself in the Morphine fire .	en				
10811	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en				
10812	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en	Pacific Time (US & Canada)	"Fresno, California"		
10814	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en	Pacific Time (US & Canada)	"Baltimore, Maryland"		
10815	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en				
10816	9.63E+17	9.63E+17	"@ericbolling @realDonaldTrump Thank you Eric &amp; @POTUS .
Please include in your analysis, doctors &amp; hospitals over prescribing the Opioids."	en				
10868	9.63E+17	9.63E+17	@baseballcrank @SethAMandel @cjane87 @NoahCRothman Hydrocodone is a hell of a drug.	en	Eastern Time (US & Canada)	"Buffalo, NY"		
10916	9.63E+17	9.63E+17	Bay opioids survey yields mixed results	en	Alaska	"New York, New York"		
10924	9.63E+17	9.63E+17	@ericbolling @realDonaldTrump Why is it no money is going into researching opioids when it is killing so many young people!!	en				
10936	9.63E+17	9.63E+17	"""Sugar is as addictive as cocaine and heroin"""	en	Jakarta	Tanah Air Beta		
10951	9.63E+17	9.63E+17	@lisaabramowicz1 beginning to think the Opioid is spreading to the CEO ranks ...	en	Arizona	Southwest		
10952	9.63E+17	9.63E+17	i don’t even think i’m allowed to take this much medication but i literally cannot deal w this excruciating pain	en		jerseyyy		
11065	9.63E+17	9.63E+17	"If fentanyl is so bad why don't they make cheaper safer fentanyl, oh, they do it's called heroin."	en	Central Time (US & Canada)			
11067	9.63E+17	9.63E+17	@GaryLineker Gaz😆😅 stop it never seen him run like this in a real match must be the morphine he injected in his left toe.	en	London	DeathValleyHills London 🇬🇧		
11073	9.63E+17	9.63E+17	opioids are criminally expensive	en	Central Time (US & Canada)	1400 John R. Lynch Street		
11093	9.63E+17	9.63E+17	Bay opioids survey yields mixed results	en	Mazatlan	"Atlanta, Georgia"		
11118	9.63E+17	9.63E+17	#NewHip Day 7  another goal meet off the Oxy's and sleeping in my own bed again!	en	Pacific Time (US & Canada)	Seattle		
11155	9.63E+17	9.63E+17	"BPD 911 Dispatch: NARCOTICS INSIDE | 1800 N FULTON AV | Tue, Feb 13th 2018, 7:40 am | Medium | P180440449"	en	Eastern Time (US & Canada)	"Baltimore, MD"		
11157	9.63E+17	9.63E+17	"BPD 911 Dispatch: NARCOTICS INSIDE | 2500 W BALTIMORE ST | Tue, Feb 13th 2018, 6:56 am | Medium | P180440390"	en	Eastern Time (US & Canada)	"Baltimore, MD"		
11171	9.63E+17	9.63E+17	@NikkiSixx I read The Heroin Diaries so only by the Grace of God you’re alive ... so yes!	en		Texas		
11194	9.63E+17	9.63E+17	@crimesofbrits The British had a more permissive and enlightened view of narcotics that was different to the Chinese policy of prohibition.	en	Sydney	"Sydney, New South Wales"		
11283	9.63E+17	9.63E+17	Both acetaminophen and ibuprofen can cause severe damage and death. Opioids are non-toxic to internal organs.	en		"Victoria BC/Ohio/NC, USA"		
11307	9.63E+17	9.63E+17	"@Bruhnaldo Heroin Mike: ""don't lie to yourself, you're coming off as pathetic. It's over.""
Butch Rumble:*snaps fingers* THATS IT!!!"	en	Eastern Time (US & Canada)	stockbridge		
11327	9.63E+17	9.63E+17	@Bruhnaldo did heroin mike just call me pathetic? Lol	en	Eastern Time (US & Canada)	stockbridge		
11337	9.63E+17	9.63E+17	"#pregabalin is a horror drug 

impossible to come off —&gt; like heroin

#cannabis on the other hand.. 

#liveline @Liveline_RTE"	en	Dublin	ballymahon mart cafe - ireland		
11361	9.63E+17	9.63E+17	@Bruhnaldo did heroin mike just call me pathetic?	en	Eastern Time (US & Canada)	stockbridge		
11396	9.63E+17	9.63E+17	"@SebGorka Who did Virginia bring in recently for opioid crisis, was it the US Marshal"	en				
11436	9.63E+17	9.63E+17	If you have an eyebrow ring I assume you suck dick for heroin.	en		"Nashville, TN"		
11447	9.63E+17	9.63E+17	Have difficulty making decisions?You probably have Pre-Menstrual Syndrome.This causes phantom limbs.Try Methadone	en				
11455	9.63E+17	9.63E+17	@Heroin i was in class fuck you	en	Brasilia	United States		
11492	9.63E+17	9.63E+17	@AlexGregory1 Never good that. Get them tramadol out!	en		Doncaster		
11568	9.63E+17	9.63E+17	"@amiIIionvoices Tea together with 13 beaches, god bless america... and heroin"	en	Brussels			
11614	9.63E+17	9.63E+17	@Likwidgh Charley sometimes sef then the whole hospital no get morphine 😂🤣. An entire hospital pharmacy no morphine	en	Urumqi	Jilin		
11647	9.63E+17	9.63E+17	In Mineola members of the Republican Legislative Majority will introduce a bill expanding the county’s social host law to include opioids	en	Eastern Time (US & Canada)	"Mineola, New York"		
11669	9.63E+17	9.63E+17	"David is allergic to opiates.
Jenelle is allergic to penicillin.

And I am extremely allergic to bullsh*T

#psychicproblems"	en		"CA, USA"		
11731	9.63E+17	9.63E+17	Someone get me some morphine	en		"Doha, Qatar"		
11840	9.63E+17	9.63E+17	"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need💕 #NeverBeTheSame"	en				
11846	9.63E+17	9.63E+17	@a_damSQ Hahahaha God damn heroin mike shouldn’t be the man but he is	en	Eastern Time (US & Canada)	"Atlanta, Ga"		
11981	9.63E+17	9.63E+17	The flu can also be opiate withdrawl. There's a rash of break ins suspected to be Latin or there servants. There white servants	en				
12010	9.63E+17	9.63E+17	"dopamine, serotonin and opiates are being created by the boatloads. and when you come off that , there nothing left"	en	Pacific Time (US & Canada)			
12022	9.63E+17	9.63E+17	Analgesic	en	Pacific Time (US & Canada)			
12034	9.63E+17	9.63E+17	"@ericbolling @realDonaldTrump 
That's wonderful. My best to both of you and thank you for your fight to destroy this opioid crisis.God bless"	en				
12052	9.63E+17	9.63E+17	@mattbc These opiate deaths r not from ppl using these meds for pain and as prescribed and as directed.	en				
12084	9.63E+17	9.63E+17	@wawatravellers @wawatravellers we don’t know if there have been overdoses. We don’t know where Naloxone is available.	en		"eastern shore, Lake Superior"		
12087	9.63E+17	9.63E+17	"EDITORIAL: Fentanyl, the made-in-China killer"	en				
12092	9.63E+17	9.63E+17	"I don’t drink green lean, I fell in love with codeine"	en		nyc		
12108	9.63E+17	9.63E+17	@austinn04 @POTUS @realDonaldTrump @VP @WhiteHouse Maybe CBD could help ease the opioid crisis.	en		"Louisville, KY"		
12130	9.63E+17	9.63E+17	"@justabloodygame But those are the easiest kind!

Also giving up heroin. It’s a two-fer this year."	en	Eastern Time (US & Canada)	"Rehoboth Beach, DE"		
12148	9.63E+17	9.63E+17	Specific agents such as triptans or ergotamines may be used by those for whom simple analgesics are not effective against a #migraine.	en	Bucharest	London		
12161	9.63E+17	9.63E+17	@TheRynheart @realDonaldTrump They will just get heroin.	en	Central Time (US & Canada)	"Near Cumberland Plateau, in TN"		
12215	9.63E+17	9.63E+17	@Mauerback @ryanlcooper @HeerJeet Exactly! He was in considerable pain and often refused morphine in order to remain lucid.	en		"Wilton, NY"		
12222	9.63E+17	9.63E+17	@Bruhnaldo Hahahaha heroin mike. You glorious bastard	en	Eastern Time (US & Canada)	stockbridge		
12250	9.63E+17	9.63E+17	"@shelly2161 @CNN I know a mom who allocates the funds to her neighbors for food, in exchange for oxycodone."	en				
12251	9.63E+17	9.63E+17	"Prescription drugs, show me love. Percocets, Adderall, Xanny bars, get codeine involved"	en	Atlantic Time (Canada)	"Paterson, NJ"		
12253	9.63E+17	9.63E+17	You're not a real Sky Ferreira fan if you don't do heroin. I don't make the rules that's just how it goes	en	Asia/Manila	Honeymoon Avenue 		
12366	9.63E+17	9.63E+17	@RavenHawk4 Many of our elderly in America are addicted to opioids because of big pharma. When they have an achy back they get drugs.	en		"Texas, USA"		
12393	9.63E+17	9.63E+17	"in a dream yea, thinkin bout codeine yea"	en		#LEV 		
12402	9.63E+17	9.63E+17	@Adaripp @chrislhayes Those Xanax and drinks probably helped. Out of touch? Opioid crisis? Yea ... you’re not helping that	en		"Chesapeake, VA"		
12509	9.63E+17	9.63E+17	“Some have called the current #opioid crisis ‘the greatest iatrogenic epidemic in the history of America’.”	en	Eastern Time (US & Canada)	"Milford, CT"		
12592	9.63E+17	9.63E+17	@DrLwyrIndnChf Just Like Bruddas or Codeine Crazy.	en	Atlantic Time (Canada)	"New York, NY"		
12606	9.63E+17	9.63E+17	"I was just told that “if you were a narcotic, you’d be an upper!” 👑🙏🏽💪🏽💯"	en	America/New_York	FLORIDA		
12648	9.63E+17	9.63E+17	"The opioid crisis has cost the US $1 trillion since 2001. 🤮

#FixThisShit"	en	Pacific Time (US & Canada)	NYC		
12744	9.63E+17	9.63E+17	"@TweetsByLUV Not the real track list, why would codeine dreaming be on the album"	en		United Kingdom		
12749	9.63E+17	9.63E+17	@realDonaldTrump @foxandfriends Please tell us exactly what you are going to fight the opioid crisis because all I see is words	en	Central Time (US & Canada)	Chicago or thereabouts		
12769	9.63E+17	9.63E+17	Yoooooo if i got Bentley a Cuban link chain omg lmaoooo. Niggas gon think his owner sellls heroin	en	Pacific Time (US & Canada)			
12813	9.63E+17	9.63E+17	"$-0.65 EPS Expected for Altisource Residential (RESI); Veritable LP Raised By $417,472 Its Occidental Pete Del (OXY) Sta..."	en	Pacific Time (US & Canada)	"Cockburn Town, Turks and Caico"		
12821	9.63E+17	9.63E+17	@realDonaldTrump @foxandfriends CBD products are starting to replace these opioid's with NO side effects.	en		"Tulsa, Oklahoma area"		
12824	9.63E+17	9.63E+17	Have hardening of the nipples?You probably have Histrionic Personality Disorder.This causes numbness.Try Methadone	en				
12838	9.63E+17	9.63E+17	Codeine nigga🎶	en	Bogota	"Cartagena, Colombia"		
12845	9.63E+17	9.63E+17	Inject the strongest dose of morphine available straight into my veins	en	London	WN8		
12874	9.63E+17	9.63E+17	Seems like codeine is the one thing that helps take my mind from the lies	en		georgia		
12877	9.63E+17	9.63E+17	@LBC The chemist near me gives out methadone. So I  can't see much of a difference.	en		"Brighton, England"		
12883	9.63E+17	9.63E+17	@CR Debt is the opioid of our economy. We're hopelessly addicted and it will be our downfall	en	Central Time (US & Canada)	"Iowa, USA"		
12884	9.63E+17	9.63E+17	@PifflesPod @balaneski AND ALREADY I read this wrong!  Blame the heavy narcotics!  Ok. I think @Demski9 goes to Winnipeg.	en		Saskie 		
12906	9.63E+17	9.63E+17	@meganraee1 Same dude. The hydrocodone gave Jeff stomach problems so I had to sleep on his side of the bed	en	Central Time (US & Canada)	"Wylie, TX"		
12976	9.63E+17	9.63E+17	@ericbolling @realDonaldTrump Legalizing cannabis cuts down on opioid deaths. The statistics are indisputable.	en	Pacific Time (US & Canada)	Martinez		
12992	9.63E+17	9.63E+17	@DeanWilson15 Morphine tramadol together with vodka 😜	en		"England, United Kingdom"		
13010	9.63E+17	9.63E+17	@SenToomey How does cutting funding for Medicaid help deal with the opioid crisis?	en				
13037	9.63E+17	9.63E+17	"@johnpavlovitz If you haven’t figured out it’s a scam yet, then you’re like the rest of the masses addicted to the opiate of religion"	en	Pacific Time (US & Canada)	The Mojave		
13068	9.63E+17	9.63E+17	karo &amp; benzos to snowstorms and glucose	en	London			
13080	9.63E+17	9.63E+17	"Just like nicotine, heroin, morphine."	en	Central Time (US & Canada)			
13084	9.63E+17	9.63E+17	@ericbolling @realDonaldTrump Thank you for all your doing to help end the opioid crisis	en				
13099	9.63E+17	9.63E+17	"Just like nicotine heroine ..morphine 
Suddenly I'm a fiend and you're all I need🎶"	en				
13103	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en				
13117	9.63E+17	9.63E+17	OxyContin Maker Will Stop Promoting Opioids to Doctors	en	Pacific Time (US & Canada)			
13137	9.63E+17	9.63E+17	Opioid use associated with an increased risk for Invasive Pneumococcal Disease. Another covariable to take into account.	en				
13142	9.63E+17	9.63E+17	weed boring now we doing fentanyl from now on	en		"Greensboro, NC"		
13213	9.63E+17	9.63E+17	"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need"	en	Pacific Time (US & Canada)	Maracaibo. Venezuela		
13217	9.63E+17	9.63E+17	@SherylHyten Her voice will soon grow stronger and louder as her supporters increase in numbers.  What courage! A true heroin!	en	Pacific Time (US & Canada)			
13246	9.63E+17	9.63E+17	"OxyContin maker Purdue to stop promoting opioids to doctors, cut half of sales staff"	en				
13281	9.63E+17	9.63E+17	@ericbolling Remember that many Really need pain medication. Life becomes one hour at a time.	en				
13315	9.63E+17	9.63E+17	@borderlinefemme Fuck the doctor. But girl I feel your pain. My medication is doing the same thing.	en	Central Time (US & Canada)	"London, Ontario"		
13341	9.63E+17	9.63E+17	ive been sick since thursday but i haven’t taken any medication bc i love being in pain	en	Eastern Time (US & Canada)	u of central fla		
13350	9.63E+17	9.63E+17	and so many people have been OD’n in new haven bc of bad heroin batches it’s crazy spooky out here	en	Eastern Time (US & Canada)			
13362	9.63E+17	9.63E+17	@Lindaan_ I wouldn't let her win haha I'd turn off her morphine drip if she ever over took me so I could get back in the lead	en	Pacific Time (US & Canada)	Newcastle		
13383	9.63E+17	9.63E+17	"OxyContin maker Purdue to stop promoting opioids to doctors, cut half of sales staff"	en	Chihuahua	"San Francisco, California"		
13424	9.63E+17	9.63E+17	Ivy the hostile heroin-addict.	en		"Brilliant, OH"		
13427	9.63E+17	9.63E+17	If Kevin doesn’t quit the vicodin and drinking I’m going to climb through my tv screen and kill him #ThisIsUs	en	Alaska	New England		
13499	9.63E+17	9.63E+17	"Capping years of criticism, Purdue Pharma will stop promoting its opioid drugs to doctors"	en	Mexico City	"New York, New York"		
13552	9.63E+17	9.63E+17	"@Aubanty85 @sraboni_alam Ufffoo dont be heroin.. 😩
Be a simple girl 😩"	en	Karachi	"جدة, المملكة العربية السعودية"		
13554	9.63E+17	9.63E+17	someone bring me like 6 vicodin	en	Mountain Time (US & Canada)	FAG MOB		
13605	9.63E+17	9.63E+17	How drug company money turned patient groups into 'cheerleaders for opioids' - USA TODAY Pain Pill Giant Purdue to Stop Promotion of	en		Trinidad and Tobago		
13629	9.63E+17	9.63E+17	"You taking morphine homie, you’re a moron"	en		"Norman, OK"		
13649	9.63E+17	9.63E+17	"just like nicotine, heroin nd morphine"	en	Bogota	"Bogotá, DC, Colombia"		
13658	9.63E+17	9.63E+17	@DrPhil Is there an update on the heroin woman who was pregnant and homeless with the baby daddy? Did the baby survive? Where are they now?	en		United States		
13664	9.63E+17	9.63E+17	@alexanderchee Another great resource is Sam Quinones’ amazing book “Dreamland: The True Tale of America's Opiate Epidemic”	en	Pacific Time (US & Canada)	Los Angeles		
13669	9.63E+17	9.63E+17	"I’ve never heard someone sing the words heroin and morphine so sweetly, so thanks Camila Cabello."	en	Eastern Time (US & Canada)	Country Roads		
13676	9.63E+17	9.63E+17	codeine crazy still godly	en				
13736	9.63E+17	9.63E+17	if you ever leave me baby leave some morphine at my door🤙	en	Brasilia			
13741	9.63E+17	9.63E+17	@CDCgov This is the same CDC that wants to take pain medication from CPP’s. #OneVoice360	en		"Massachusetts, USA"		
13745	9.63E+17	9.63E+17	"Wishing #chronicpain #fibromyalgia patients a good day may #Pharmacys or doctors not deny you pain medication.

❤ no human should suffer."	en	Pacific Time (US & Canada)	"Mission Viejo, CA"		
13748	9.63E+17	9.63E+17	That moment when your co-worker offers you a Percocet for a headache👀👀......UMMM YEAH NO!!! #shetryingtoTakemeOUT  #NOTHANKU😂😂😂	en	Atlantic Time (Canada)	" Rochester, NY"		
13759	9.63E+17	9.63E+17	"I put codeine in the LeBron sprite, pop a percocet I feel like iron Mike"	en	Pacific Time (US & Canada)			
13768	9.63E+17	9.63E+17	Basically this stupid plant is going to all but eliminate my need for narcotic pain treatment and that’s a beautiful thing.	en	Central Time (US & Canada)	"Toronto, Ontario"		
13779	9.63E+17	9.63E+17	Just like nicotine heroin morphine suddenly I'm a fiend and you're all i need.	en	Central Time (US & Canada)	"Plano, TX"		
13800	9.63E+17	9.63E+17	@dertdirtdert @Richarardwayne @slayckx Need loads of opioids to get that high.	en		Flat Earth		
13814	9.63E+17	9.63E+17	@WESH2SummerK I think he secretly has an opiate addiction...	en	Eastern Time (US & Canada)	"Fort Lauderdale, FL"		
13820	9.63E+17	9.63E+17	@dcexaminer The personal choice people have made to abuse opioid has cost us that much?	en	Eastern Time (US & Canada)	Maryland		
13868	9.63E+17	9.63E+17	@mickquinn1089 Codeine morphine and amitriptyline...if you where in Glasgow your hoose would get robbed lol 😂🙈	en		"Glasgow, Scotland"		
13878	9.63E+17	9.63E+17	my dude oded last night fuck heroin	en				
13915	9.63E+17	9.63E+17	Mad spending £25.60 on tablets which I probably couldnt afford if I was in America. Would cost me just that for 1 box of 30mg codeine	en	London	"Newcastle Upon Tyne, England"		
13919	9.63E+17	9.63E+17	Pain Pill Giant Purdue to Stop Promotion of Opioids to Doctors	en	Pacific Time (US & Canada)	"Dallas, Texas"		
13968	9.63E+17	9.63E+17	Narcotics on me I be mad high🤤😩	en		East Side☝🏾🤚🏾(603)		
13972	9.63E+17	9.63E+17	@DustinGiebel Hi this is Billy Mayes for oxy clean.	en		"Sacramento, CA"		
13990	9.63E+17	9.63E+17	You can’t understand how the global economy functions if you don’t understand narcotics traffic 😈 Not possible	en		"Pensacola, FL"		
14040	9.63E+17	9.63E+17	"@JTMann05 @realDonaldTrump @foxandfriends The opioid problem is heavy with legal prescriptions, not Mexico drug lords."	en		Texas		
14069	9.63E+17	9.63E+17	@brynnElyons We weren't drug tested at my old group home job where we handled narcotic grade medications every day	en	Eastern Time (US & Canada)	Pittsburgh		
14106	9.63E+17	9.63E+17	I feel so unhinged like rhjekwkw my pain medication has worn off almost entirely and this woman won't shut the fuck up!!!!!!!	en		the pledis building basement		
14123	9.63E+17	9.63E+17	@GOVERNING Would like to see where prescription opioid use is the highest....	en				
14174	9.63E+17	9.63E+17	House passes bills seeking to increase fight against opioids	en				
14177	9.63E+17	9.63E+17	@lukerosiak And opioids	en	Eastern Time (US & Canada)	"Manhattan, NY"		
14192	9.63E+17	9.63E+17	Whittaker: Opioids have been a crisis in the Black community for a long time … but people have only started to take notice. #INminority	en	Eastern Time (US & Canada)	"Indianapolis, Indiana"		
14211	9.63E+17	9.63E+17	"Popped some quetiapine, diazepam and codeine last night. Slept for fucking 14 hours lol"	en	Casablanca	trigger warning 		
14221	9.63E+17	9.63E+17	Backwoods and promethazine with codeine 💜	en	Pacific Time (US & Canada)	214		
14227	9.63E+17	9.63E+17	"""A Heroin addict needed his fix, I needed to rock"""	en	Amsterdam			
14234	9.63E+17	9.63E+17	@codyko Cody is short for codeine	en		"Johns Creek, GA"		
14260	9.63E+17	9.63E+17	@iam_YCEE Lol ycee and Otunba wizzy on a codeine diet	en		lagos Nigeria		
14274	9.63E+17	9.63E+17	@janewayxyz It will also make transitioning off of codeine barely noticeable. Plants are the best!	en		Central Nj		
14282	9.63E+17	9.63E+17	House passes bills seeking to increase fight against opioids	en	Pacific Time (US & Canada)	"Detroit, Michigan"		
14283	9.63E+17	9.63E+17	@AlexisinNH And what does Russian meddling in elections have to do with opioids? A total non sequitur.	en				
14301	9.63E+17	9.63E+17	god bless narcotics	en		"Scotland, United Kingdom"		
14302	9.63E+17	9.63E+17	The song Still A Player from the album Codeine by Zro is probably one of my favs 🙊	en		TEXA$		
14306	9.63E+17	9.63E+17	"Just like nicotine, heroine, morphine
Suddenly I’m a fiend and you’re all I need 🎶"	en	Beijing	Taguig City		
14386	9.63E+17	9.63E+17	"""A Heroin addict needs his fix, I needed to rock"""	en	Amsterdam			
14396	9.63E+17	9.63E+17	"Americans are abusing over-the-counter drugs as well as opioids, study shows"	en	Midway Island	"Memphis, Tennessee"		
14406	9.63E+17	9.63E+17	Fish fillets stuffed with deadly drug fentanyl seized from vehicle in the Bronx	en	Pacific Time (US & Canada)	"uquerque, New MexicobAl"		
14422	9.63E+17	9.63E+17	Have a question about race and opioids for our panel? Ask using the hashtag #INminorityopioids	en	Eastern Time (US & Canada)	"Indianapolis, Indiana"		
14456	9.63E+17	9.63E+17	"OxyContin maker will stop promoting opioids to doctors 
CLICK BELOW FOR FULL STORY....."	en	Pacific Time (US & Canada)			
14491	9.63E+17	9.63E+17	$10M worth of fentanyl found stuffed in fish fillets	en				
14507	9.63E+17	9.63E+17	$10M worth of fentanyl found stuffed in fish fillets	en	Pacific Time (US & Canada)	"Long Beach, California"		
14508	9.63E+17	9.63E+17	$10M worth of fentanyl found stuffed in fish fillets	en				
14513	9.63E+17	9.63E+17	A mysterious supplement with a viral following has been officially declared an opioid by the FDA	en	Pacific Time (US & Canada)	"Phoenix, Arizona"		
14514	9.63E+17	9.63E+17	I use WebMD for all my ailments. It saves money and they have a delicious recipe for morphine cocktails.	en	PDT	"Twain Harte, CA"		
14532	9.63E+17	9.63E+17	"GRAPHIC — Mexican Federal Narcotics Agent Kidnapped, Killed in Cancun"	en		"Franklin, TN"		
14597	9.63E+17	9.63E+17	I BROUGHT NARCOTICS TO YO SPOT LIKE I SUPPOSED TO	en	Arizona	"Dallas, tx"		
14602	9.63E+17	9.63E+17	@NPR And then they’ll sell the methadone and narcan once they’re addicted. Brilliant.	en		"Upper Left, USA"		
14665	9.63E+17	9.63E+17	@ddale8 Kelly Ann Conway is also an “expert “ on domestic abuse and opioid addiction and and lying	en				
14707	9.63E+17	9.63E+17	@GarrettAZWV I agree the stats for the epidemic are terrifying. I️t is so important that we work to put a stop to opioid addictions!	en		"Morgantown, WV"		
14739	9.63E+17	9.63E+17	@alegriaboulange And heaven help us if we stopped the flow of revenue pouring in from oxycontin.	en	Pacific Time (US & Canada)	Blue oasis in a red desert		
14767	9.63E+17	9.63E+17	"i dont get why i get prescribed codeine when its useless for my cough

i guess it makes me feel nice and takes the pain away"	en	Singapore	Singapore		
14781	9.63E+17	9.63E+17	Thank god for Ciara leaving Future &amp; codeine. This dude went on the craziest run in rap since weezy from 08-10	en	Atlantic Time (Canada)	Sean island New York		
14819	9.63E+17	9.63E+17	"i could technically overdose on this and it'll be the same as taking morphine

hm"	en	Singapore	Singapore		
14872	9.63E+17	9.63E+17	"What's the first thing that comes to your mind when you hear or see Tramadol?
#SayNoToDrugs"	en	West Central Africa	"Lagos, Nigeria"		
14881	9.63E+17	9.63E+17	"@NyangKoSenSe codeine is just for the pain, ibuprofen or bromhexine or something similar would actually help the cough"	en	Brisbane	brisbane		
