	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36
174	210897	C0332128	Examined	C0221198	Lesion	C3844638	Either	C0274281	Injury due to exposure to external cause	C0013781	Shock from electric current	C0013781	Shock from electric current	C0344307	Absence of pain sensation	C0679201	Inference	C0221198	Lesion	C0344307	Absence of pain sensation	C0036974	Shock	C0948482	analgesic effect	C0221198	Lesion	C0221198	Lesion	C0221198	Lesion	C0001721	Affect (mental function)	C0221198	Lesion	C2825142	Experimental Result	C0344307	Absence of pain sensation																																		
175	210896	C0344315	Depressed mood	C0412771	Spontaneous respiration	C2825142	Experimental Result																																																																		
176	710510	C0344307	Absence of pain sensation	C0221198	Lesion	C0699809	Does carry	C0039869	Thinking, function	C0948482	analgesic effect	C0948482	analgesic effect																																																												
177	216571	C0038435	Stress	C1962977	Pain NOS Adverse Event	C0870444	doubt																																																																		
178	726197	C0011581	Depressive disorder	C0009791	Consciousness related finding	C0150312	Present	C1690974	Accidental event																																																																
179	751425	C0220929	Mental tolerance	C0948482	analgesic effect	C4035626	3 times	C0162703	Pain Threshold	C0220929	Mental tolerance	C0948482	analgesic effect	C0162425	Intention - mental process	C0948482	analgesic effect	C0948482	analgesic effect	C0948482	analgesic effect	C0220929	Mental tolerance	C0948482	analgesic effect																																																
180	747734	C0020517	Hypersensitivity	C2984079	Somewhat	C1514241	Positive Finding																																																																		
181	738263	C1320408	Urinary elimination status	C0011991	Diarrhea																																																																				
182	736836	C1510472	Drug Dependence	C0237607	Practice Experience	C0272302	Gray Platelet Syndrome	C1527402	Narcotic Dependence	C0004448	Awareness	C0038580	Substance Dependence	C0162340	Comprehension	C0596764	impression (attitude)																																																								
183	733844	C0220929	Mental tolerance	C3838679	4+ Answer to question	C0220929	Mental tolerance																																																																		
184	733832	C0017324	Generalization (Psychology)	C0012632	Discrimination (process of differentiation)	C0017324	Generalization (Psychology)	C3844638	Either	C0012632	Discrimination (process of differentiation)																																																														
185	733826	C2825142	Experimental Result	C0879626	Adverse effects	C0150312	Present	C0683954	research results	C0220929	Mental tolerance	C0879626	Adverse effects	C0150312	Present	C2712185	Normal weight	C3838679	4+ Answer to question	C0220929	Mental tolerance	C1273518	Responsible to	C0344315	Depressed mood	C0150312	Present	C0220929	Mental tolerance	C0021467	Psychological inhibition	C2911647	Weight Gain Adverse Event	C3151529	Lethal	C0150312	Present	C0150312	Present	C0150312	Present																																
186	725084	C2825142	Experimental Result	C2825142	Experimental Result	C0001721	Affect (mental function)																																																																		
187	723970	C0344307	Absence of pain sensation	C2676137	Diamond-Blackfan Anemia 1	C0948482	analgesic effect	C1273517	Used by	C1140999	Contraction (finding)	C2825142	Experimental Result	C2676137	Diamond-Blackfan Anemia 1	C0948482	analgesic effect	C0150312	Present	C3838679	4+ Answer to question	C2825142	Experimental Result	C0080194	Muscle strain																																																
188	721344	C0012752	Distance Perception	C0040226	Time Perception	C0679046	attention span	C0025265	Memory, Short-Term	C2825142	Experimental Result	C0012752	Distance Perception	C0679046	attention span																																																										
189	721343	C0449416	Source	C0242510	Drug usage	C2825142	Experimental Result	C1444656	Indicated	C0596130	attribution	C0596130	attribution																																																												
190	721341	C2825142	Experimental Result	C1444656	Indicated	C0033213	Problem	C0683357	excessive drinking																																																																
191	720311	C4033634	Blood Indices																																																																						
192	717878	C0332128	Examined	C0235146	Euphoric mood	C1272641	Systemic arterial pressure	C1272641	Systemic arterial pressure	C0442739	No status change	C0003840	Physiologic Health: Arterial pH																																																												
193	717760	C1273517	Used by	C0033213	Problem	C4036058	Too high																																																																		
194	717752	C1956346	Coronary Artery Disease	C3843765	65+	C0700292	Hypoxemia	C0034063	Pulmonary Edema																																																																
195	711931	C0600688	Toxic effect	C2825142	Experimental Result	C2825142	Experimental Result																																																																		
196	711925	C0155626	Acute myocardial infarction	C0085639	Falls	C2825142	Experimental Result	C0428776	Cardiac index																																																																
197	710502	C1273517	Used by	C0596002	Observation of reflex	C0596002	Observation of reflex	C0457404	Reflex latency	C0344315	Depressed mood	C2911691	Feedback - evaluative response process																																																												
198	709413	C2825142	Experimental Result	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation																																																												
199	709412	C0332128	Examined	C0442749	6/5	C0344315	Depressed mood	C0001721	Affect (mental function)	C0442749	6/5	C0240292	mg++ increased	C0442797	Decreasing	C0035007	Psychological reinforcement	C0442797	Decreasing	C0035007	Psychological reinforcement	C0035007	Psychological reinforcement	C0035007	Psychological reinforcement	C0150312	Present	C0442797	Decreasing	C0332219	Easy	C0750484	Confirmation	C0557351	Employed	C0150312	Present	C0013781	Shock from electric current	C0240291	mg reduced	C0220929	Mental tolerance	C0442797	Decreasing	C0035007	Psychological reinforcement	C0220929	Mental tolerance	C0557351	Employed																						
200	702334	C0085762	Alcohol abuse	C2825142	Experimental Result	C0086045	Mental concentration	C0439857	Dependence	C0342895	Fish-Eye Disease																																																														
201	702333	C0332128	Examined	C0234422	Awake	C0235063	Respiratory Depression	C0235063	Respiratory Depression	C0235063	Respiratory Depression	C0338715	Drug-induced depressive state	C3838679	4+ Answer to question	C0338715	Drug-induced depressive state																																																								
202	702312	C1273517	Used by	C0150312	Present	C0004268	Attention	C0424215	Sense of identity (observable entity)	C1273517	Used by	C1554187	Gender Status - Intact	C3843494	Medication 1																																																										
203	581358	C4297006	Increase dose	C0036572	Seizures	C0344307	Absence of pain sensation																																																																		
204	569860	C0456240	Core body temperature	C3842674	Day 5	C0231441	Immobile	C0007398	Catatonia	C0015967	Fever	C1262477	Weight decreased	C0021467	Psychological inhibition	C0456240	Core body temperature	C2825032	Withdrawal (dysfunction)	C0456240	Core body temperature	C0233480	Hyperirritability	C2825032	Withdrawal (dysfunction)	C0456240	Core body temperature	C0233480	Hyperirritability	C0220929	Mental tolerance	C0278080	Physical addiction																																								
205	569859	C0007398	Catatonia	C0007398	Catatonia	C0007398	Catatonia	C0007398	Catatonia	C0086045	Mental concentration	C0007398	Catatonia	C0086045	Mental concentration	C0150312	Present																																																								
206	568501	C0232826	Anti-diuresis (finding)	C0332155	Did not receive therapy or drug for	C0220929	Mental tolerance	C0220929	Mental tolerance	C3838679	4+ Answer to question	C0087169	Withdrawal Symptoms																																																												
207	366850	C0332218	Difficult (qualifier value)	C0237607	Practice Experience	C3843766	<50	C0332219	Easy	C3844638	Either	C0231170	Disability	C0231218	Malaise	C0237607	Practice Experience																																																								
