	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
144	3002405	C0020429	Hyperalgesia	C0344307	Absence of pain sensation	C0679201	Inference	C0020429	Hyperalgesia	C0020429	Hyperalgesia	C0020429	Hyperalgesia	C0020429	Hyperalgesia	C0020429	Hyperalgesia	C3843766	<50	C0039869	Thinking, function	C0162703	Pain Threshold	C0020429	Hyperalgesia	C0020429	Hyperalgesia	C0600138	Does play	C2700617	Irritation - emotion	C0021368	Inflammation	C1962977	Pain NOS Adverse Event																																																										
145	3002205	C0332128	Examined	C1704632	Disease Response	C0150312	Present	C1704632	Disease Response	C0220929	Mental tolerance	C0150312	Present	C1554187	Gender Status - Intact	C2825142	Experimental Result	C0150312	Present	C1554187	Gender Status - Intact	C1444656	Indicated	C0332128	Examined																																																																				
146	3001581	C2825142	Experimental Result	C2825142	Experimental Result	C0850310	Possessed																																																																																						
147	3001580	C4297007	Decrease dose	C3842674	Day 5	C3842674	Day 5	C3842674	Day 5	C4297007	Decrease dose	C3842674	Day 5	C3842674	Day 5	C3842674	Day 5	C3844638	Either	C0442797	Decreasing	C3840892	Day 4	C3838679	4+ Answer to question	C0004268	Attention	C0042345	Varicosity	C0150312	Present	C3842674	Day 5	C3840892	Day 4	C0150312	Present	C3842672	Day 7	C3842674	Day 5																																																				
148	3000388																																																																																												
149	3000125	C0036974	Shock	C1720436	Under anesthesia	C0036974	Shock	C0036974	Shock	C0162429	Malnutrition	C3854605	Mean Pulmonary Arterial Pressure	C0728899	Intoxication																																																																														
150	2998921	C3843766	<50	C3842672	Day 7	C0150312	Present	C0683317	activity level																																																																																				
151	2998723	C1962977	Pain NOS Adverse Event	C2360800	Number of patients	C0150055	Chronic pain	C0235063	Respiratory Depression	C2674459	Limited Walking Ability	C0013146	Drug abuse	C0425943	Duration of menstrual flow	C0013144	Drowsiness	C0012833	Dizziness	C1962977	Pain NOS Adverse Event																																																																								
152	2998563	C3843766	<50	C3843766	<50	C0277555	Secondary disease, NOS	C0036239	Satiation	C0020505	Hyperphagia	C0020505	Hyperphagia	C1955473	Others - Allergy	C0020505	Hyperphagia	C0020505	Hyperphagia																																																																										
153	2998134	C0150312	Present	C0680844	estimation <subjective>	C0150312	Present																																																																																						
154	2998130	C0221406	Pituitary-dependent Cushing's disease	C0221406	Pituitary-dependent Cushing's disease	C0086045	Mental concentration																																																																																						
155	2997441	C1720436	Under anesthesia	C3151525	Hypoplastic heart	C0150312	Present	C0009649	Conditioning, Classical	C2825142	Experimental Result																																																																																		
156	2995978	C0442804	Very high	C0086045	Mental concentration	C0086045	Mental concentration	C0086045	Mental concentration	C4321237	High Level	C0344307	Absence of pain sensation	C4321237	High Level																																																																														
157	2995143	C2825142	Experimental Result	C2825142	Experimental Result	C0333165	Acute obstruction	C2825142	Experimental Result	C0311428	Increased excretory function	C2825142	Experimental Result	C1554187	Gender Status - Intact																																																																														
158	2995111	C0450093	Very large	C0036572	Seizures	C1444656	Indicated	C0036572	Seizures	C1821609	Convulsion Control	C0036572	Seizures	C0036572	Seizures	C2825142	Experimental Result																																																																												
159	2992912	C0150312	Present	C1524029	Mouse MIN NOS	C0150312	Present	C0086045	Mental concentration	C4297006	Increase dose	C1272708	Outcome of action	C0869332	Deprivation of water																																																																														
160	2937886	C2825141	Experimental Finding	C0442804	Very high																																																																																								
161	2936599	C1319065	Castrated male	C1319065	Castrated male	C2825142	Experimental Result	C1319065	Castrated male																																																																																				
162	2933750	C0150312	Present	C0021467	Psychological inhibition	C2825142	Experimental Result	C3670726	Persistent estrus	C2825142	Experimental Result	C0150312	Present	C2825142	Experimental Result	C1273518	Responsible to																																																																												
163	2867958	C1271104	Blood pressure finding	C0020649	Hypotension	C0428977	Bradycardia	C0038587	Substance Withdrawal Syndrome	C0038587	Substance Withdrawal Syndrome																																																																																		
164	2866731	C0234422	Awake	C0030193	Pain	C0449381	Observation parameter	C0234422	Awake	C0085639	Falls	C0424522	Asleep																																																																																
165	2864048	C0948482	analgesic effect	C0879626	Adverse effects	C0344307	Absence of pain sensation	C1962977	Pain NOS Adverse Event	C0948482	analgesic effect	C1962977	Pain NOS Adverse Event	C0879626	Adverse effects	C0013144	Drowsiness																																																																												
166	2864047	C0450407	ph+	C4055506	Accumulation	C3843766	<50	C0150312	Present	C0429986	Dependent for bathing	C0450407	ph+	C0450407	ph+	C0450407	ph+	C0150312	Present	C0450407	ph+	C0450407	ph+	C0150312	Present	C0001127	Acidosis, Respiratory																																																																		
167	2863329	C0233535	Butting	C1545588	Protection																																																																																								
168	2412748	C0221232	Welts	C3843766	<50	C0221232	Welts	C1709157	Negative Surgical Margin	C0221232	Welts	C0221232	Welts																																																																																
169	2995741	C2825142	Experimental Result	C0018790	Cardiac Arrest																																																																																								
170	2994834	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C0850310	Possessed	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C4321237	High Level	C0442726	Detected (finding)	C0150312	Present	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia																																																																								
171	2864927	C0450407	ph+																																																																																										
172	2864619	C0150055	Chronic pain	C0013390	Dysmenorrhea																																																																																								
173	4065212	C0332128	Examined	C1140999	Contraction (finding)	C0344315	Depressed mood																																																																																						
174	4065211	C0683317	activity level																																																																																										
175	4052749	C0036974	Shock	C0449381	Observation parameter	C0013987	Emotions	C0036974	Shock	C0036974	Shock	C0036974	Shock	C0150063	Feeling powerless	C0948482	analgesic effect	C0948482	analgesic effect	C0237677	insensitivity	C0023185	Learning	C0150063	Feeling powerless	C0036974	Shock																																																																		
176	4033353	C0220929	Mental tolerance	C0344307	Absence of pain sensation	C4289270	Five to Seven Days	C1289915	Exposure to magnetic field	C0220929	Mental tolerance	C3842672	Day 7	C0948482	analgesic effect	C0220929	Mental tolerance	C0344307	Absence of pain sensation	C0220929	Mental tolerance	C0220929	Mental tolerance	C0344307	Absence of pain sensation	C1289915	Exposure to magnetic field	C0220929	Mental tolerance	C0948482	analgesic effect	C0220929	Mental tolerance	C0344307	Absence of pain sensation	C0001721	Affect (mental function)	C0004083	Mental association	C0009649	Conditioning, Classical	C0004083	Mental association	C4518791	Opiate tolerance																																																
